"DoctorID","Doctor"
"501","Matthew Smith"
"502","Samantha Davies"
"503","Tiffany Mitchell"
"504","Kevin Wells"
"505","Kathleen Hanna"
"506","Taylor Newton"
"507","Kelly Olson"
"508","Suzanne Thomas"
"509","Daniel Ferguson"
"510","Heather Day"
"511","John Duncan"
"512","Douglas Mayo"
"513","Kenneth Fletcher"
"514","Theresa Freeman"
"515","Roberta Stewart"
"516","Maria Dougherty"
"517","Erica Spencer"
"518","Justin Kim"
"519","Justin Moore Jr."
"520","Denise Galloway"
"521","Krista Smith"
"522","Gregory Smith"
"523","Vanessa Newton"
"524","Donna Martinez MD"
"525","Stephanie Kramer"
"526","Angela Contreras"
"527","Wendy Glenn"
"528","James Ellis"
"529","Jared Bruce Jr."
"530","Brandy Mitchell"
"531","Jacob Huynh"
"532","Kristina Frazier"
"533","John Hartman"
"534","Heather Garcia"
"535","Lynn Young"
"536","Emma Allison"
"537","Laura Myers"
"538","Travis Parsons"
"539","Christine Johnson"
"540","Emily Taylor"
"541","William Reynolds"
"542","Jennifer Carter"
"543","Matthew Thomas"
"544","Mary Logan"
"545","Kristin Martinez"
"546","Daniel Murphy"
"547","Emily Patterson"
"548","Heather Smith"
"549","John Smith"
"550","Cameron Young"
"551","Vicki Nguyen"
"552","Mary Moss"
"553","Alexander Garcia"
"554","Patrick Burns"
"555","Kayla Powers"
"556","Julia Cox"
"557","Penny Pruitt"
"558","Mrs. Lori Hurst PhD"
"559","Stephen Carr"
"560","Jacob Daniel"
"561","Tyler Braun"
"562","Cindy Ellis"
"563","Megan Hahn"
"564","Eric Kelly"
"565","Jennifer Larson"
"566","William Hess"
"567","Patricia Dunn"
"568","Jack Jackson"
"569","Jonathan Drake"
"570","Ian Benitez"
"571","Jamie Baker"
"572","Erika Jackson"
"573","Amanda Garcia"
"574","Raven Wong"
"575","Cynthia Scott"
"576","Mark Padilla"
"577","Julie Ramirez"
"578","Jacob Rich"
"579","Mark Hartman Jr."
"580","Timothy Baker"
"581","Lori Sanchez"
"582","Connie Boyd"
"583","James Tucker"
"584","Juan Acevedo"
"585","Julie Finley"
"586","Miguel Parker"
"587","Jermaine Peters"
"588","Lisa Edwards"
"589","Matthew Walker"
"590","Gregory Hansen"
"591","Jessica Cruz"
"592","Robert Salazar"
"593","Kyle Patterson"
"594","John Summers"
"595","Scott Grant"
"596","David Ruiz"
"597","Kyle Smith"
"598","Jason Price"
"599","Stephanie Clements"
"600","Steven James"
"601","Jeremiah Wolf"
"602","Roberto Petersen"
"603","Christina Hammond"
"604","Patricia Colon"
"605","Dominic Mitchell"
"606","Wendy Davis"
"607","Daniel Carson"
"608","Erin Henderson MD"
"609","Christopher Butler"
"610","Samuel Robles"
"611","Benjamin Webb"
"612","Krystal Fox"
"613","Bruce Garrett"
"614","Jonathan Watson"
"615","Christopher Guerra"
"616","Steven Adams"
"617","Victoria Patel"
"618","Louis Bell"
"619","Michael Baker"
"620","Douglas Fleming"
"621","Patrick Carter"
"622","Sarah Shaffer"
"623","Matthew Carter"
"624","Brian Wagner"
"625","Lucas Cole"
"626","Julia Yoder"
"627","Crystal Chavez"
"628","Brenda Lopez"
"629","Michael Cole"
"630","Michael Larson"
"631","Tracey Spence"
"632","Susan Gibson"
"633","Gerald Hooper"
"634","Todd Sanchez"
"635","Elizabeth Morales"
"636","Kimberly Petersen"
"637","Misty Garcia"
"638","Melissa Fernandez"
"639","Kari Moore"
"640","David Hubbard"
"641","Lonnie Morgan"
"642","Victoria Gonzales"
"643","Cindy White"
"644","Douglas Li"
"645","Lori Mendoza"
"646","Ryan Ross"
"647","Brian Walton"
"648","Michael Berg"
"649","Scott Davis"
"650","Daniel Shelton"
"651","Tara Moreno"
"652","Kristie Morgan"
"653","Joseph Jones"
"654","Maria Tran"
"655","Kelly Murphy"
"656","Katherine Brown"
"657","Elizabeth Frank"
"658","Alyssa Edwards"
"659","Jesse Thomas"
"660","Erica Mccormick"
"661","Amber Holmes"
"662","Austin Jackson"
"663","Shane Morris"
"664","Brent Smith"
"665","Kayla Davis"
"666","Rose Zuniga"
"667","Ethan Wagner"
"668","Phillip Williams"
"669","Maureen Hill"
"670","Heidi Compton MD"
"671","Kimberly Gonzalez"
"672","Rebecca Morgan"
"673","Sabrina Rogers"
"674","Kevin Brown"
"675","Sarah Cole"
"676","Jennifer Hall"
"677","Emily Cruz"
"678","Michael Anderson"
"679","Natalie Sellers"
"680","Patrick Ochoa"
"681","Daniel Rodgers"
"682","Taylor Baldwin"
"683","Adam Ross"
"684","Amy Williams"
"685","Martha Graham"
"686","Emily Thomas"
"687","Terrance Rosales"
"688","Daniel Smith"
"689","Marissa Stevenson"
"690","Katie Fitzpatrick"
"691","Dennis Small"
"692","Chris Holt"
"693","Jenny Griffith"
"694","Gregory Lambert"
"695","Michael Armstrong"
"696","Melissa Terry"
"697","Thomas Bruce"
"698","James James DVM"
"699","Sean Smith"
"700","John Hansen"
"701","Teresa Mccarthy"
"702","Stephanie Barnett"
"703","Mr. Luke Nunez Jr."
"704","Stacy Stewart"
"705","Andrea Oneal"
"706","Eric Coleman"
"707","Anthony Barnes"
"708","Michael Hickman"
"709","Dustin Wolf"
"710","Amanda Wells"
"711","Jason Miller"
"712","Holly James"
"713","April Cox"
"714","Virginia Lynch"
"715","Patricia Fuller"
"716","Michelle Ward"
"717","Robin Adams"
"718","Emily Morales"
"719","Adriana Morrow"
"720","Michael Mitchell"
"721","Caroline Choi"
"722","Michael Robinson"
"723","Heather Miller"
"724","Howard Obrien"
"725","Faith Cook"
"726","Donna Colon"
"727","David Lindsey"
"728","Anthony Nixon"
"729","Doris Hawkins"
"730","Caleb James"
"731","Patricia Moore"
"732","Matthew Gray"
"733","Justin Lowe"
"734","Danny Mcdonald"
"735","Gina Weaver"
"736","Eddie Jackson"
"737","Miss Valerie Saunders MD"
"738","Richard Petty"
"739","Patricia Bean"
"740","Ronald Jones"
"741","Jack Wall"
"742","Felicia Morrison"
"743","Crystal Schultz"
"744","Bailey Gonzalez"
"745","Michael Guzman"
"746","Elizabeth Flowers"
"747","Whitney Vaughan"
"748","Seth Nelson"
"749","Erin Wright"
"750","Jennifer Flores"
"751","Brandi Knight"
"752","Chad Irwin"
"753","Victoria Williams"
"754","Travis Walton"
"755","Catherine Hernandez"
"756","Kristen Johnson"
"757","Tammy Chavez"
"758","Savannah Colon"
"759","Jessica Parks MD"
"760","Joshua Singleton"
"761","Vincent Ramirez"
"762","Natasha Smith"
"763","John Sparks"
"764","Michelle Gutierrez"
"765","Rachel Williams"
"766","Sergio Shelton"
"767","Mr. Michael White MD"
"768","Mary Drake"
"769","Tonya Wade"
"770","Charles Torres"
"771","Jennifer Freeman"
"772","Reginald Becker"
"773","Charles Webb"
"774","Emily Perez"
"775","Rachel Thomas"
"776","Christopher Flores"
"777","Jennifer Stevenson"
"778","Matthew Garcia"
"779","Brett Meyer"
"780","David Murphy"
"781","Erin Henson"
"782","Katrina Fuentes"
"783","Harold Jackson"
"784","Christopher Merritt"
"785","Haley Kim"
"786","Dr. Steven Johnson"
"787","Erin Cole"
